CCN,REPORT_DAT,START_DATE,END_DATE,SHIFT,OFFENSE,BLOCK,WARD,DISTRICT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE,hour,day,month,weekday,time_period,crime_count,crime_type,crime_date,crime_hour,year,day_night,area,risk_level
24084321,2024-06-04 07:20:45+00:00,2024-06-04 04:25:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,300 - 379 BLOCK OF P STREET SW,6.0,1.0,Cluster 9,38.8720385776,-77.0160796764,4.0,4.0,6,Tuesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-06-04 07:20:45+00:00,7,2024,Day,Cluster 9,Medium
24078385,2024-05-25 02:24:53+00:00,2024-05-25 00:48:00+00:00,2024-05-25 01:31:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,1800 - 1869 BLOCK OF BENNING ROAD NE,5.0,5.0,Cluster 23,38.8989945496,-76.9769899359,0.0,25.0,5,Saturday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-05-25 02:24:53+00:00,2,2024,Night,Cluster 23,High
24114871,2024-07-27 09:08:08+00:00,2024-07-27 07:24:00+00:00,2024-07-27 07:26:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2100 - 2199 BLOCK OF 8TH STREET NW,1.0,3.0,Cluster 3,38.9183918696,-77.0229493266,7.0,27.0,7,Saturday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-07-27 09:08:08+00:00,9,2024,Day,Cluster 3,Medium
24043573,2024-03-23 00:33:56+00:00,2024-03-22 23:44:00+00:00,2024-03-23 00:34:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,500 - 599 BLOCK OF 21ST STREET NE,7.0,5.0,Cluster 25,38.8966405258,-76.9744499717,23.0,22.0,3,Friday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-03-23 00:33:56+00:00,0,2024,Night,Cluster 25,High
24044684,2024-03-25 11:53:52+00:00,2024-03-25 06:30:00+00:00,2024-03-25 08:00:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,1800 - 1999 BLOCK OF LAWRENCE STREET NE,5.0,5.0,Cluster 22,38.932125299,-76.9778798864,6.0,25.0,3,Monday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-03-25 11:53:52+00:00,11,2024,Day,Cluster 22,Medium
24099712,2024-06-30 07:14:05+00:00,2024-06-30 05:41:00+00:00,2024-06-30 06:30:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,7.0,6.0,Cluster 30,38.8966558827,-76.9476475094,5.0,30.0,6,Sunday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-06-30 07:14:05+00:00,7,2024,Day,Cluster 30,High
24085190,2024-06-05 18:02:15+00:00,2024-06-05 17:15:00+00:00,2024-06-05 18:00:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,1100 - 1199 BLOCK OF 45TH STREET NE,7.0,6.0,Cluster 31,38.9055009442,-76.9371044722,17.0,5.0,6,Wednesday,Evening,1,ASSAULT W/DANGEROUS WEAPON,2024-06-05 18:02:15+00:00,18,2024,Night,Cluster 31,High
24087940,2024-06-10 11:21:04+00:00,2024-06-10 09:59:00+00:00,2024-06-10 11:30:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,2900 - 2999 BLOCK OF KNOX PLACE SE,8.0,7.0,Cluster 36,38.8545644303,-76.9705725705,9.0,10.0,6,Monday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-06-10 11:21:04+00:00,11,2024,Day,Cluster 36,High
24090936,2024-06-15 09:30:29+00:00,2024-06-15 07:50:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1200 - 1299 BLOCK OF H STREET NE,6.0,1.0,Cluster 25,38.9002009211,-76.9892742544,7.0,15.0,6,Saturday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-06-15 09:30:29+00:00,9,2024,Day,Cluster 25,High
24119184,2024-08-04 05:28:30+00:00,2024-08-04 02:10:00+00:00,2024-08-04 05:20:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,4200 - 4299 BLOCK OF GARRISON STREET NW,3.0,2.0,Cluster 11,38.9559550009,-77.0826479725,2.0,4.0,8,Sunday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-08-04 05:28:30+00:00,5,2024,Night,Cluster 11,Low
